common_name,sci_name
northern anchovy,Thryssa hamiltonii
california barracuda,Sphyraena argentea
giant sea bass,Stereolepis gigas
blacksmith,Hippoglossus hippoglossus
pacific bonito,Sarda chiliensis
butterfish (pacific pompano),NA
cabezon,Larimus breviceps
white croaker,Genyonemus lineatus
california moray eel,NA
unspecified fish,NA
arrowtooth flounder,Atheresthes stomias
starry flounder,Platichthys stellatus
unspecified flounder,NA
flyingfish,Cypselurus comatus
kelp greenling,Hexagrammos decagrammus
shovelnose guitarfish,Rhinobatos productus
halfmoon,Medialuna californiensis
california halibut,Paralichthys californicus
unspecified halibut,NA
jacksmelt,Atherinopsis californiensis
lingcod,Ophiodon elongatus
california lizardfish,Synodus lucioceps
louvar,Luvarus imperialis
pacific mackerel,Scomber australasicus
jack mackerel,Trachurus japonicus
opah,Lampris guttatus
opaleye,Girella nigricans
queenfish,Lutjanus sebae
pacific electric ray,Torpedo californica
bat ray,Myliobatis californica
pacific ocean perch rockfish,NA
black-and-yellow rockfish,Sebastes chrysomelas
black rockfish,Mycteroperca bonaci
blackgill rockfish,Sebastes melanostomus
blue rockfish,Sebastes mystinus
bocaccio rockfish,Sebastes paucispinis
brown rockfish,Sebastes auriculatus
canary rockfish,Sebastes pinniger
chilipepper rockfish,Sebastes goodei
copper rockfish,Sebastes caurinus
cowcod rockfish,NA
gopher rockfish,Sebastes carnatus
grass rockfish,Sebastes rastrelliger
group bolina rockfish,NA
group canary/vermili rockfish,NA
group gopher rockfish,NA
group nearshore rockfish,NA
group red rockfish,NA
group rosefish rockfish,NA
group shelf rockfish,NA
group slope rockfish,NA
group small rockfish,NA
kelp rockfish,Sebastes atrovirens
rosethorn rockfish,Sebastes helvomaculatus
rosy rockfish,Sebastes helvomaculatus
splitnose rockfish,Sebastes diploproa
starry rockfish,Sebastes constellatus
treefish rockfish,NA
unspecified rockfish,NA
vermilion rockfish,Sebastes miniatus
widow rockfish,Sebastes entomelas
yellowtail rockfish,Sebastes flavidus
sablefish,Anoplopoma fimbria
chinook salmon,Oncorhynchus tshawytscha
salmon,Aprion virescens
sanddab,Citharichthys sordidus
pacific sardine,Sardinops sagax
california scorpionfish,Scorpaena guttata
white seabass,Atractoscion nobilis
pacific angel shark,Squatina californica
basking shark,Rhincodon typus
bigeye thresher shark,Alopias superciliosus
blue shark,Isurus oxyrinchus
brown smoothhound shark,NA
dusky shark,Carcharhinus altimus
gray smoothhound shark,NA
horn shark,Heterodontus francisci
leopard shark,Galeocerdo cuvier
pelagic thresher shark,Alopias pelagicus
sevengill shark,Notorynchus cepedianus
shortfin mako shark,Isurus oxyrinchus
sixgill shark,Hexanchus griseus
smooth hammerhead shark,Sphyrna zygaena
soupfin shark,Galeorhinus galeus
spiny dogfish shark,NA
thresher shark,Alopias superciliosus
unspecified shark,NA
white shark,Carcharodon carcharias
california sheephead,Semicossyphus pulcher
silversides,Alestes baremoze
california skate,Raja inornata
unspecified skate,NA
true smelts,NA
dover sole,Solea solea
english sole,Parophrys vetulus
fantail sole,Xystreurys liolepis
petrale sole,Eopsetta jordani
rex sole,Glyptocephalus zachirus
unspecified sole,NA
black surfperch,Embiotoca jacksoni
rainbow surfperch,Hypsurus caryi
rubberlip surfperch,Rhacochilus toxotes
unspecified surfperch,NA
swordfish,Istiompax indica
longspine thornyhead,Sebastolobus altivelis
shortspine thornyhead,Sebastolobus alascanus
thornyheads,NA
pacific tomcod,Microgadus proximus
albacore tuna,Thunnus alalunga
bluefin tuna,Thunnus maccoyii
skipjack tuna,Katsuwonus pelamis
unspecified tuna,NA
yellowfin tuna,Thunnus albacares
ocean whitefish,Caulolatilus cyanops
pacific whiting,Merluccius productus
yellowtail,Ocyurus chrysurus
crustaceans,NA
box crab,NA
claws crab,NA
king crab,NA
pelagic red crab,NA
red rock crab,NA
rock unspecified crab,NA
spider crab,NA
yellow rock crab,NA
unspecified crustacean,NA
california spiny lobster,NA
ridgeback prawn,NA
spot prawn,NA
mantis shrimp,NA
ocean (pink) shrimp,NA
echinoderms,NA
unspecified sea cucumber,NA
purple sea urchin,NA
red sea urchin,NA
mollusks,NA
unspecified clam,NA
unspecified limpet,NA
mussel,NA
unspecified octopus,NA
sea snail,Liparis liparis
moon snails,NA
jumbo squid,NA
market squid,NA
kellet's whelk,NA
dolphin (fish),NA
escolar,Seriola rivoliana
oilfish,Thaleichthys pacificus
bigeye tuna,Thunnus obesus
wahoo,Acanthocybium solandri
monkeyface eel,NA
eel,Anguilla anguilla
unspecified mackerel,NA
plainfin midshipman,Porichthys notatus
unspecified ray,NA
chameleon rockfish,Sebastes phillipsi
olive rockfish,Sebastes serranoides
shortbelly rockfish,Sebastes jordani
pacific sanddab,Citharichthys sordidus
rock sole,Lepidopsetta bilineata
barred surfperch,Amphistichus argenteus
turbot,Balistes vetula
rustaceans,NA
pacific ocean shrimp,NA
unspecified shrimp,NA
chinoderms,NA
red urchin,NA
ollusks,NA
unspecified scallop,NA
salmon shark,Lamna ditropis
pacific pomfret,Brama japonica
china rockfish,Sebastes nebulosus
aurora rockfish,Sebastes aurora
flag rockfish,Sebastes babcocki
speckled sanddab,Citharichthys stigmaeus
swell shark,Cephaloscyllium laticeps
dungeness crab,NA
brown rock crab,NA
orms,NA
colonial invertebrates,NA
ters south of state,NA
monkeyface (prickleback) eel,NA
pacific herring,Clupea pallasii pallasii
quillback rockfish,Sebastes maliger
threadfin shad,Dorosoma petenense
stingray,Dasyatis americana
giant red sea cucumber,NA
warty sea cucumber,NA
unspecifed croaker,NA
mexican rockfish,Sebastes macdonaldi
bank rockfish,Sebastes rufus
copper (whitebelly) rockfish,NA
greenspotted rockfish,Sebastes chlorostictus
redbanded rockfish,Sebastes babcocki
speckled rockfish,Sebastes ovalis
sargo,Archosargus probatocephalus
rock wrasse,Halichoeres semicinctus
sand crab,NA
sea stars,NA
top snail,NA
unspecified jacks,NA
grenadier,Macrourus berglax
bullet mackerel,Auxis rochei
darkblotched rockfish,Sebastes crameri
greenblotched rockfish,Sebastes rosenblatti
sand sole,Pegusa lascaris
spotted ratfish,Hydrolagus colliei
bronzespotted rockfish,Sebastes gilli
greenstriped rockfish,Sebastes elongatus
honeycomb rockfish,Sebastes umbrosus
swordspine rockfish,Sebastes ensifer
american shad,Alosa sapidissima
butter sole,Isopsetta isolepis
ocean sunfish,Mola mola
golden prawn,NA
worms,NA
sea spiders,NA
yellowfin goby,Acanthogobius flavimanus
giant kelpfish,Heterostichus rostratus
stripetail rockfish,Sebastes saxicola
big skate,Raja binoculata
triggerfish,Abalistes stellaris
spider/sheep claws crab,NA
unspecified echinoderm,NA
keyhole limpet,NA
sea hare,NA
group deep nearshore rockfish,NA
squarespot rockfish,Sebastes hopkinsi
juvenile sardine,NA
blacktip shark,Carcharhinus amblyrhynchoides
walleye surfperch,Hyperprosopon argenteum
white surfperch,Phanerodon furcatus
armed box crab,NA
plants,NA
kelp,NA
staghorn sculpin,Leptocottus armatus
invertebrate unspecified,NA
marine worms,NA
thornback skate,Raja clavata
night smelt,Spirinchus starksi
shiner surfperch,Cymatogaster aggregata
unspecified trawled fish,NA
barnacle,NA
jellyfish,NA
wolf (wolf-eel) eel,NA
striped seaperch,Lutjanus vitta
longnose skate,Raja rhina
surf smelt,Hypomesus pretiosus
tanner crab,NA
bay shrimp,NA
pink rockfish,Sebastes eos
marine flatworm,NA
northern anchovy ,Thryssa hamiltonii
california moray  eel,NA
s tarry  flounder,NA
pacific electric ray ,Torpedo californica
bat ray ,Myliobatis californica
grass  rockfish,NA
greens triped rockfish,NA
oliv e rockfish,NA
pinkrose rockfish,Sebastes simulator
rosy  rockfish,NA
s tarry  rockfish,NA
v ermilion rockfish,NA
y ellowtail rockfish,NA
spiny  dogfish shark,NA
splittail,Pogonichthys macrolepidotus
diamond turbot,Hypsopsetta guttulata
crus taceans,NA
dungeness  crab,NA
shore crab,NA
y ellow rock crab,NA
unspecified crus tacean,NA
california spiny  lobs ter,NA
mantis  shrimp,NA
warty  sea cucumber,NA
sea s tars ,NA
unspecified mollusk,NA
moon snails ,NA
kellet's  whelk,NA
tunicates ,NA
y ellowfin tuna,NA
ghost shrimp,NA
red rock shrimp,NA
northern anchov y,NA
giant sea bas s,NA
butterfish (pacific  pompano),NA
monkey face (prickleback) eel,NA
es colar,NA
s tarry flounder,NA
pacific  elec tric ray,NA
pacific  ocean perch rockfish,NA
black-and- yellow rockfish,NA
bocac cio rockfish,NA
gras s rockfish,NA
group deep nearshor rockfish,NA
ros y rockfish,NA
s tarry rockfish,NA
white seabas s,NA
pacific  angel shark,NA
gray  smoothhound shark,NA
pelagic  thresher shark,NA
short fin mako shark,NA
split tail,NA
calico surfperch,Amphistichus koelzi
curlf in turbot,NA
hornyhead turbot,Pleuronichthys verticalis
c laws crab,NA
hermit crab,NA
spider / sheep c laws crab,NA
california spiny lobs ter,NA
sea s tars,NA
tegula snail,NA
kellet ' s whelk,NA
bigmouth sole,Hippoglossina stomata
c law s crab,NA
pelagic  red crab,NA
spider / sheep c law s crab,NA
ghos t shrimp,NA
unspecified oc topus,NA
rus taceans,NA
